Designation,Role,Topic,Challenges,Opportunities,Questions,Other Observations and Quotes
Federal employee,Special Uses Administrator (Recreation and Other),Resource Constraints,Small forest means wider array of duties,"Forest Service has a general national application process and set of documents (e.g. sample application, sample business plan, etc)",Requirements and maybe even process changes. How often? What kind of changes?,It's not clear where that process is described in detail.
Federal employee,Special Uses Administrator (Recreation and Other),Permit Process,"SUA not really the one deciding, they have no authorization powers",There is forest-level interest in trying to help applicants understand what the local / specific requirements are,,Most contacts about permits are folks who have experience/background knowledge
Federal employee,Special Uses Administrator (Recreation and Other),Relationship,SUA has to negotiate the timelines of applicants vs. the processes and approvals of Forest leadership,"[FOR THIS REGION]   Forest Service collaborates on simplifying permits when they're working with other forests. Collaboration often means a single official with multiple authorizations on multiple forests. That does not mean collaboration with Parks/Refuges/et.al. works the same. 

Some Forests in close proximity try to have some consistency in their process (e.g. common open permit season policy)",,
Federal employee,Special Use Permit Administrator,Search / Awareness,"Initial contact is usually through phone calls from guides/outfitters to the front desk or permit office asking how to proceed

SUA will then direct people to FS website to view overview of authorizations, get sample docs and see process","Unprompted, this SUA mentioned that having a way for folks to easily understand that they need a permit, for where, and relevant contact info, by physical area would be useful!

Folks contacting the SUA in this forest either already know they need a permit, or have some other certification (e.g. State guide license) and they don't know they need a permit",Follow up Q: Why would the second group contact the SUA at all?,
Federal employee,Special Use Permit Administrator,Search / Awareness,Response to prototype,"Pretty much verbatim what I relayed to you, people can zoom into locations they are wanting to guide, and see what land they need to talk to.  We do get a lot of calls about that, so we have to send them a list of lands that they want to guide and mark out for them which they need to interact with.","http://itsallyours.us/ -- a product of FS and the Nat'l Forest Foundation (national cooperating org) -- ""I think something people are actually using right now""",
Federal employee,Special Use Permit Administrator,Permit Process,"""We do have a pretty heavy process on our end to weed out those who aren’t that serious.""",,,Possible insight: Goal of process and getting qualified guide/outfitter is in large part risk mitigation
Federal employee,Special Use Permit Administrator,Permit Process,"""We try to make those changes as transparent as possible, but there is a lot of burden that comes on the guide company.""",,Q: How are changes in requirements or process from HQ communicated to regions/districts? And then how are those communicated out to permittees?,
Federal employee,Special Use Permit Administrator,Resource Constraints,"For budget, size, or even focus reasons (e.g. another forest we talked to that had special use as a collateral job for someone) some forests may not have a primary permitting / SUA person",,,
Federal employee,Special Use Permit Administrator,Permit Process,The applications themselves are consistent across the FS (e.g. temp guide permit application) but then distinct local requirements/constraints factor into processing,,,
Federal employee,Special Use Permit Administrator,Permit Process,like navigating NEPA and trying to make that quick and simple.,,,
Federal employee,Special Use Permit Administrator,Permit Process,"FS allows a forest supervisor to delegate SUA authority to one forest when an applicant's use crosses forest lines, if the case makes sense",,,
Federal employee,Special Use Permit Administrator,Permit Process,Depending on what state/county/city they are operating in they have lots of other processes/permits to get/go through. ,,,
Federal employee,Special Use Permit Administrator,Resource Constraints,SUA processor is not dedicated to that job. Infrequent work. This park office divides up work by SUA and CUA.,,,SUAs come up about 12/year for this park. Very complicated permits are 1-2 per year
Federal employee,Special Use Permit Administrator,Permit Process,Fees vary for SUA depending on specific use and needs,,,
Federal employee,Special Use Permit Administrator,Permit Process,"Involved parties: SUA processor, superintendent, chief ranger, potentially others depending on complexity.

Seems that back and forth via email is expected, and not too burdensome for this person (in the context of being very experienced with the process, w/ very few requests per year)

Customers asking for fast turnaround is a frustration",Possible opportunity to tie permit system into record-keeping / future screening?,,
Federal employee,Special Use Permit Administrator,Search / Awareness,Most people make phone call first (to visitor center) to understand SUA permit process,Possible opportunity to tie permit system into record-keeping / future screening?,,
Federal employee,Special Use Permit Administrator,Permit Process,"SUA permits, even though ""one-offs"" can potentially be very complicated (e.g. filming)",,,
Federal employee,Special Use Permit Administrator,Relationship,"For SUA at least, they don't work with bordering or nearby neighboring agencies. FS ""way more lenient""",,,
Federal employee,Special Use Permit Administrator,Record Keeping / Data,"Logs for yearly summary audits (actual paper records seem to not be needed, summaries only)",,,
Federal employee,Public Relations and Communications,Technology,"Websites are managed centrally, but they aren't platforms. Folks in the field create entropy when they edit their sites because there's no standard, true CMS, or platform to bucket or organize content. Add the cultural elements of scientists and multiple-use management, and that entropy expands.","They're hiring ""digital"" folks to help organize content and deploy it with new channels: instagram, twitter, video, etc.

They've run the platform play with media, but transactions, operations, and the main site are lagging.",,
Federal employee,Public Relations and Communications,Organization / Culture,Hierarchical specialization is a real thing - from permits to communications and websites.,,,
Federal employee,Public Relations and Communications,Permit Process,"Congress is hearing from constituents about permit process, mostly in regards to things other than recreation, but it's happening.",They have considered consolidation of permitting processes in their Region.,,
Federal employee,Public Relations and Communications,Search / Awareness,"Pointing to all of FS sites may not help, given that every site is different. If you start with one Region that might work.",,,
Federal employee,Public Relations and Communications,Search / Awareness,"Recreation.gov pulls from FS tables, somewhere, and those tables need refreshing. Unclear if forests/districts or the Region are responsible for that data maintenance. This region appears to have taken that responsibility.",,,
Federal employee,Special Uses Director,Search / Awareness,"Recreation.gov handles day passes and permits and things like that, but it gets confused with special use permits and more complicated things.",Rec.gov is an existing product that CUAs use to book travel on behalf of customers. They and concessionaires update the platform on their own.,,
Federal employee,Program Manager - Special Use Permits,Prototype,"""We wouldn't be able to say what uses there are available there. Just looking at this screenshot you've got varied ownerships in a very small area""","""I would like to be able to click on a green spot and have an office location and phone number, I'm familiar with this general area, but you don't know who owns what land, if you've got a question."" [speaking as a user]",,
Federal employee,Program Manager - Special Use Permits,Search / Awareness,"Folks call FS the park service all the time. Physical maps had green areas to designate federal lands, but they weren't always updated or even accurate. Each agency has different goals/objectives and ways of describing their land.",Electronic maps have helped.,,
Federal employee,Director of Recreation,Permit Process,ACE doesn't issue outfitter/guide permits,"ACE DOES issue other special use and commercial permits however (fishing tournament, triathlon, etc)",,
Federal employee,Director of Recreation,Permit Process,"Permits issued at the project level (most granular level of management, akin to a district within a forest)",ACE HQ is not aware of complaints around the permitting process...A potential challenge for ACE is marina clean water permitting (and possible compliance),,
Federal employee,Director of Recreation,Technology,,"ACE maintains a website and database for their public use areas, which feeds into recreation.gov","Wonder what kind of traffic/use their own site gets, and if that's a real way that permit applicants actually find project contacts",
Federal employee,Director of Recreation,Resource Constraints,Biggest challenges for ACE Recreation mgmt (HQ perspective) is funding and backlogged maintenance,,,
